user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.10	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Celerinatantimonadaceae;g__Agarivorans;s__Agarivorans albus	GCF_019670105.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Celerinatantimonadaceae;g__Agarivorans;s__Agarivorans albus	96.87	0.892	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_019649015.1, s__Agarivorans litoreus, 95.0, 93.37, 0.729; GCF_900537085.1, s__Agarivorans sp900537085, 95.0, 87.8, 0.458; GCF_019670125.1, s__Agarivorans aestuarii, 95.0, 93.12, 0.736	N/A	N/A	N/A	N/A
bin.100	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__Devosia_A sp001899085	GCF_001899085.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__Devosia_A sp001899085	97.92	0.888	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_046596525.1, s__Devosia_A sp046596525, 95.0, 86.89, 0.239; GCF_001425235.1, s__Devosia_A sp001425235, 95.0, 88.7, 0.444; GCF_035944845.1, s__Devosia_A sp035944845, 95.0, 87.3, 0.371; GCF_028290645.1, s__Devosia_A sp028290645, 95.0, 84.41, 0.158; GCF_028613635.1, s__Devosia_A sp028613635, 95.0, 83.33, 0.174; GCF_001402915.1, s__Devosia_A sp001402915, 95.0, 89.27, 0.557; GCA_965284115.1, s__Devosia_A sp965284115, 95.0, 87.35, 0.368; GCF_000970465.2, s__Devosia_A insulae, 95.0, 88.69, 0.42; GCA_016793415.1, s__Devosia_A sp016793415, 95.0, 89.32, 0.403	N/A	N/A	N/A	N/A
bin.102	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Microsaccharimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Microsaccharimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	25.61	11	0.98172	N/A
bin.103	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_D;f__Crocinitomicaceae;g__Fluviicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_D;f__Crocinitomicaceae;g__Fluviicola;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	99.36	11	0.99028	N/A
bin.105	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Moheibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Moheibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.6	11	0.98553	N/A
bin.106	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__62-47;s__62-47 sp017305595	GCA_017305595.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__62-47;s__62-47 sp017305595	97.57	0.883	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_044463945.1, s__62-47 sp044463945, 95.0, 83.97, 0.181; GCA_049647485.1, s__62-47 sp049647485, 95.0, 88.31, 0.48; GCA_039808365.1, s__62-47 sp039808365, 95.0, 85.98, 0.258; GCA_023386885.1, s__62-47 sp023386885, 95.0, 88.54, 0.518; GCA_035565575.1, s__62-47 sp035565575, 95.0, 85.6, 0.281; GCA_017305555.1, s__62-47 sp017305555, 95.0, 90.72, 0.606; GCA_963204905.1, s__62-47 sp963204905, 95.0, 86.93, 0.341; GCA_049651165.1, s__62-47 sp049651165, 95.0, 85.84, 0.177; GCA_017305535.1, s__62-47 sp017305535, 95.0, 89.19, 0.584; GCA_023954195.1, s__62-47 sp023954195, 95.0, 84.21, 0.238; GCA_051954235.1, s__62-47 sp051954235, 95.0, 89.99, 0.595	N/A	N/A	N/A	N/A
bin.108	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas albigilva	GCF_023503965.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas albigilva	98.01	0.87	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_041911375.1, s__Brevundimonas sp041911375, 95.0, 89.04, 0.48; GCF_005484585.1, s__Brevundimonas sp005484585, 95.0, 83.93, 0.222; GCF_041892135.1, s__Brevundimonas intermedia, 95.0, 84.08, 0.2; GCA_000335735.1, s__Brevundimonas sp000335735, 95.0, 84.32, 0.216; GCF_026625805.1, s__Brevundimonas sp026625805, 95.0, 84.11, 0.192; GCF_013912065.1, s__Brevundimonas sp013912065, 95.0, 84.15, 0.22; GCA_016429195.1, s__Brevundimonas sp016429195, 95.0, 84.17, 0.189; GCA_963515305.1, s__Brevundimonas sp963515305, 95.0, 84.65, 0.238; GCA_023451375.1, s__Brevundimonas sp023451375, 95.0, 86.63, 0.361; GCF_027105095.1, s__Brevundimonas vesicularis_E, 95.0, 83.95, 0.208; GCF_027886425.1, s__Brevundimonas vesicularis_C, 95.0, 83.99, 0.204; GCF_023147505.1, s__Brevundimonas sp002484265, 95.0, 84.56, 0.232; GCF_049896085.1, s__Brevundimonas sp049896085, 95.0, 84.8, 0.247; GCF_902506205.1, s__Brevundimonas sp902506205, 95.0, 84.26, 0.226; GCF_032017145.1, s__Brevundimonas sp032017145, 95.0, 85.26, 0.23; GCF_011064825.1, s__Brevundimonas mediterranea_A, 95.0, 84.73, 0.245; GCF_003248455.1, s__Brevundimonas sp003248455, 95.0, 85.0, 0.233; GCF_039674565.1, s__Brevundimonas intermedia_B, 95.0, 84.32, 0.241; GCF_044336875.1, s__Brevundimonas sp044336875, 95.0, 84.78, 0.235; GCF_014204545.1, s__Brevundimonas vesicularis_B, 95.0, 83.63, 0.209; GCF_022654015.1, s__Brevundimonas diminuta_C, 95.0, 83.53, 0.215; GCF_049897645.1, s__Brevundimonas sp049897645, 95.0, 84.44, 0.235; GCF_965262535.1, s__Brevundimonas sp002434505, 95.0, 85.02, 0.247; GCA_023390245.1, s__Brevundimonas sp023390245, 95.0, 86.18, 0.284; GCF_001422455.1, s__Brevundimonas sp001422455, 95.0, 84.2, 0.216; GCF_965279155.1, s__Brevundimonas sp965279155, 95.0, 83.91, 0.222; GCF_032067225.1, s__Brevundimonas vesicularis_F, 95.0, 84.15, 0.189; GCA_963522565.1, s__Brevundimonas sp963522565, 95.0, 82.98, 0.16; GCF_004614235.1, s__Brevundimonas intermedia_A, 95.0, 84.54, 0.237; GCF_003248965.1, s__Brevundimonas sp003248965, 95.0, 84.68, 0.246; GCA_029202665.1, s__Brevundimonas colombiensis, 95.0, 83.69, 0.218; GCF_001592205.1, s__Brevundimonas vesicularis, 95.0, 84.36, 0.232; GCF_900445985.1, s__Brevundimonas vesicularis_D, 95.0, 83.93, 0.21; GCF_041648115.1, s__Brevundimonas sp041648115, 95.0, 84.41, 0.223; GCF_014199955.1, s__Brevundimonas aurantiaca, 95.0, 84.81, 0.227; GCF_002157625.1, s__Brevundimonas sp002157625, 95.0, 84.63, 0.24; GCA_001796045.1, s__Brevundimonas sp001796045, 95.0, 84.04, 0.161; GCF_030818545.1, s__Brevundimonas sp030818545, 95.0, 84.34, 0.21; GCF_016654005.1, s__Brevundimonas nasdae, 95.0, 83.64, 0.198; GCF_030656255.1, s__Brevundimonas sp030656255, 95.0, 84.14, 0.206; GCF_026105875.2, s__Brevundimonas sp026105875, 95.04, 83.89, 0.23; GCF_014196125.1, s__Brevundimonas mediterranea, 95.0, 84.36, 0.227; GCF_002479325.1, s__Brevundimonas sp002479325, 95.0, 91.74, 0.653; GCF_044807075.1, s__Brevundimonas vesicularis_G, 95.0, 84.45, 0.227; GCF_017086445.1, s__Brevundimonas fontaquae, 95.0, 83.88, 0.221; GCF_046295075.1, s__Brevundimonas sp046295075, 95.0, 84.18, 0.215; GCF_014218725.1, s__Brevundimonas huaxiensis, 95.23, 84.03, 0.219	N/A	N/A	N/A	N/A
bin.109	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis	GCF_040096145.1	95.72	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis	99.38	0.962	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_008080435.1, s__Enterobacter asburiae_C, 95.01, 88.44, 0.43; GCF_900324475.1, s__Enterobacter bugandensis, 95.46, 89.37, 0.496; GCA_901472455.1, s__Enterobacter adecarboxylatus, 95.0, 85.72, 0.151; GCF_026344075.1, s__Enterobacter nematophilus, 95.0, 89.19, 0.477; GCF_004115925.1, s__Enterobacter nimipressuralis, 95.0, 86.12, 0.204; GCF_001729765.1, s__Enterobacter kobei, 95.0, 88.2, 0.409; GCF_034008295.1, s__Enterobacter chinensis, 95.0, 88.36, 0.413; GCF_019968765.1, s__Enterobacter sp019968765, 95.21, 88.45, 0.409; GCF_002939185.1, s__Enterobacter sichuanensis, 95.0, 88.03, 0.371; GCA_946477805.1, s__Enterobacter sp946477805, 95.0, 87.86, 0.277; GCF_008364625.2, s__Enterobacter dykesii, 96.5, 88.58, 0.412; GCF_035787115.1, s__Enterobacter adecarboxylatus_E, 95.0, 85.93, 0.154; GCF_008364555.1, s__Enterobacter vonholyi, 95.0, 88.52, 0.414; GCF_001654845.1, s__Enterobacter soli, 95.0, 87.26, 0.312; GCA_002271215.1, s__Enterobacter jeotgali, 95.0, 86.08, 0.191; GCF_964208575.1, s__Enterobacter soli_A, 95.0, 87.34, 0.355; GCF_001521715.1, s__Enterobacter asburiae, 95.26, 88.6, 0.436; GCF_003594915.1, s__Enterobacter chuandaensis, 95.0, 89.07, 0.469; GCA_023425455.1, s__Enterobacter sp023425455, 95.0, 85.98, 0.152; GCF_013782625.1, s__Enterobacter sp013782625, 95.0, 85.87, 0.174; GCF_001750725.1, s__Enterobacter ludwigii, 95.0, 87.79, 0.381; GCA_042434945.1, s__Escherichia hormaechei_A, 95.0, 92.84, 0.548; GCA_022649305.1, s__Enterobacter sp022649305, 95.0, 85.58, 0.163; GCF_006874705.1, s__Enterobacter adecarboxylatus_C, 95.0, 86.12, 0.181; GCF_900021175.1, s__Enterobacter timonensis, 95.0, 85.3, 0.162; GCF_036780805.1, s__Enterobacter sp036780805, 95.0, 85.78, 0.197; GCF_019718755.1, s__Enterobacter sp019718755, 95.11, 89.2, 0.51; GCF_013927005.1, s__Enterobacter sp013927005, 95.0, 87.18, 0.282; GCF_918797525.1, s__Enterobacter sp918797525, 95.0, 86.56, 0.241; GCA_014169315.1, s__Enterobacter cloacae_P, 95.0, 87.65, 0.309; GCF_001729785.1, s__Enterobacter hormaechei_C, 95.0, 95.83, 0.874; GCF_002902985.1, s__Enterobacter sp002902985, 95.0, 85.56, 0.188; GCF_037152535.1, s__Enterobacter sp037152535, 95.0, 86.14, 0.204; GCF_009176645.1, s__Enterobacter oligotrophicus, 95.0, 88.71, 0.441; GCA_021440515.1, s__Enterobacter asburiae_E, 95.0, 87.6, 0.348; GCF_019913755.1, s__Enterobacter barmai, 95.0, 86.14, 0.187; GCF_041937165.1, s__Enterobacter adelaidei, 95.0, 87.6, 0.331; GCF_000493015.1, s__Enterobacter sp000493015, 95.0, 88.58, 0.468; GCA_041890495.1, s__Escherichia boydii, 95.0, 86.22, 0.191; GCA_009668015.1, s__Enterobacter sp009668015, 95.0, 85.3, 0.153; GCF_025244905.1, s__Enterobacter mori_A, 95.2, 88.72, 0.497; GCF_003594935.2, s__Enterobacter huaxiensis, 95.0, 88.73, 0.474; GCF_024599655.1, s__Enterobacter asburiae_D, 96.14, 88.57, 0.46; GCF_001875655.1, s__Enterobacter hormaechei, 95.0, 94.01, 0.825; GCF_001039365.2, s__Enterobacter quasiroggenkampii, 95.0, 88.49, 0.435; GCF_004331385.1, s__Enterobacter quasihormaechei, 95.0, 93.09, 0.791; GCF_024599795.1, s__Enterobacter dissolvens, 95.01, 88.12, 0.421; GCF_002208095.1, s__Enterobacter cloacae_M, 96.81, 88.84, 0.433; GCF_043968675.1, s__Enterobacter sp003057745, 95.0, 87.31, 0.342; GCF_041399425.1, s__Enterobacter sp913778545, 95.0, 87.77, 0.359; GCF_022171985.1, s__Enterobacter chinensis_A, 95.0, 85.31, 0.16; GCF_043966805.1, s__Enterobacter cloacae_N, 95.0, 89.03, 0.458; GCF_011078175.1, s__Enterobacter cloacae_Q, 95.0, 93.79, 0.779; GCF_001984825.2, s__Enterobacter chengduensis, 95.0, 88.36, 0.436; GCA_039594245.1, s__Enterobacter sp039594245, 95.0, 88.05, 0.291; GCF_030238345.1, s__Enterobacter wanjuensis, 95.0, 86.3, 0.228; GCF_019047785.1, s__Enterobacter cancerogenus, 95.0, 87.51, 0.385; GCF_000211415.1, s__Enterobacter mori, 95.0, 88.71, 0.48; GCF_026420145.1, s__Enterobacter pseudoroggenkampii, 95.0, 88.69, 0.444; GCF_025564065.1, s__Enterobacter hatchlandensis, 95.0, 85.54, 0.15; GCF_001022965.1, s__Enterobacter cloacae_L, 95.0, 88.29, 0.428; GCA_964290475.1, s__Enterobacter sp002469605, 95.0, 86.13, 0.164; GCF_023639785.1, s__Enterobacter adecarboxylatus_D, 95.0, 85.94, 0.182; GCF_007035645.1, s__Enterobacter asburiae_B, 97.01, 88.46, 0.44; GCF_001729805.1, s__Enterobacter roggenkampii, 95.7, 88.89, 0.433; GCF_028890245.1, s__Enterobacter pasteurii, 95.0, 90.88, 0.715; GCF_039727615.1, s__Enterobacter adecarboxylatus_B, 95.0, 86.02, 0.206; GCF_036903355.1, s__Enterobacter sp036903355, 95.0, 87.65, 0.356; GCA_050587425.1, s__Enterobacter sp050587425, 95.0, 87.37, 0.303; GCF_004331265.1, s__Enterobacter wuhouensis, 95.0, 88.53, 0.444; GCA_039593635.1, s__Enterobacter sp039593635, 95.0, 88.14, 0.173; GCF_000025565.1, s__Enterobacter cloacae, 95.0, 88.13, 0.418; GCF_025566055.1, s__Enterobacter tamurae, 95.0, 86.08, 0.189; GCA_049284415.1, s__Enterobacter sp049284415, 95.0, 85.78, 0.162	N/A	N/A	N/A	N/A
bin.110	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Achromobacter;s__Achromobacter aegrifaciens	GCF_902859735.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Achromobacter;s__Achromobacter aegrifaciens	99.07	0.934	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_050285565.1, s__Achromobacter sp050285565, 95.0, 85.75, 0.272; GCF_032102605.1, s__Achromobacter sp032102605, 95.0, 85.56, 0.286; GCF_001571245.1, s__Achromobacter piechaudii, 95.0, 85.48, 0.28; GCA_913775005.1, s__Achromobacter sp913775005, 95.0, 87.44, 0.196; GCF_002975275.1, s__Achromobacter sp002975275, 95.0, 85.64, 0.313; GCF_049060505.1, s__Achromobacter marplatensis_A, 95.0, 85.54, 0.299; GCF_001571365.1, s__Achromobacter denitrificans, 95.0, 87.89, 0.451; GCF_902859705.1, s__Achromobacter deleyi, 95.0, 86.14, 0.288; GCA_016428805.1, s__Achromobacter sp016428805, 95.0, 85.32, 0.254; GCF_049647645.1, s__Achromobacter sp049647645, 95.0, 90.92, 0.738; GCF_900496975.1, s__Achromobacter veterisilvae, 95.0, 87.82, 0.434; GCF_903652925.1, s__Achromobacter anxifer, 95.0, 90.89, 0.69; GCF_902859645.1, s__Achromobacter insuavis, 95.48, 86.22, 0.301; GCF_042721735.1, s__Achromobacter sp042721735, 95.0, 87.24, 0.393; GCA_040396375.1, s__Achromobacter xylosoxidans_D, 95.0, 85.53, 0.23; GCF_050270675.1, s__Achromobacter kerstersii_A, 95.0, 85.37, 0.282; GCF_902859765.1, s__Achromobacter pulmonis, 95.0, 85.26, 0.257; GCF_001428845.1, s__Achromobacter sp001428845, 95.0, 86.4, 0.315; GCF_030864005.1, s__Achromobacter seleniivolatilans, 95.0, 83.52, 0.198; GCF_902859695.1, s__Achromobacter ruhlandii, 95.0, 86.02, 0.288; GCF_902859595.1, s__Achromobacter kerstersii, 95.0, 85.31, 0.258; GCF_013267355.1, s__Achromobacter pestifer_A, 95.0, 93.01, 0.806; GCF_000236785.1, s__Achromobacter arsenitoxydans, 95.0, 86.07, 0.324; GCF_013116765.2, s__Achromobacter deleyi_A, 95.0, 86.72, 0.374; GCA_023432075.1, s__Achromobacter sp023432075, 95.0, 88.24, 0.168; GCA_966111495.1, s__Achromobacter sp966111495, 95.0, 86.57, 0.202; GCF_014170305.1, s__Achromobacter sp014170305, 95.0, 85.49, 0.279; GCF_050285585.1, s__Achromobacter sp050285585, 95.0, 87.37, 0.43; GCF_000165835.1, s__Achromobacter xylosoxidans_B, 95.0, 92.05, 0.801; GCF_036668755.1, s__Achromobacter sp036668755, 95.0, 85.23, 0.249; GCA_032153965.1, s__Achromobacter sp032153965, 95.0, 93.06, 0.695; GCF_031995685.1, s__Achromobacter sp003454835, 95.0, 85.36, 0.247; GCF_000757485.1, s__Achromobacter sp000757485, 95.0, 87.42, 0.431; GCF_002209535.1, s__Achromobacter marplatensis, 95.0, 86.11, 0.355; GCF_002812705.1, s__Achromobacter spanius, 95.0, 84.98, 0.252; GCF_002192695.1, s__Achromobacter xylosoxidans_C, 95.0, 93.86, 0.834; GCF_039673305.1, s__Achromobacter spanius_F, 95.0, 86.64, 0.355; GCF_036567245.1, s__Achromobacter sp036567245, 95.0, 91.35, 0.659; GCF_014490035.1, s__Achromobacter bronchisepticus_A, 95.0, 94.49, 0.855; GCF_029637605.1, s__Achromobacter spanius_E, 95.0, 84.65, 0.227; GCF_943737005.1, s__Achromobacter sp001270295, 95.0, 83.66, 0.197; GCA_032015805.1, s__Achromobacter sp032015805, 95.0, 86.09, 0.17; GCF_032113835.1, s__Achromobacter sp032113835, 95.0, 85.28, 0.259; GCF_900496965.1, s__Achromobacter agilis, 95.0, 87.34, 0.448; GCF_002209555.1, s__Achromobacter insolitus, 95.0, 89.82, 0.659; GCF_003600685.1, s__Achromobacter spanius_B, 95.0, 85.1, 0.234; GCF_014170335.1, s__Achromobacter sp014170335, 95.0, 86.44, 0.358; GCF_902859585.1, s__Achromobacter animicus, 95.0, 85.33, 0.266; GCF_902859725.1, s__Achromobacter mucicolens, 95.0, 85.77, 0.278; GCA_963530045.1, s__Achromobacter sp963530045, 95.0, 86.28, 0.355; GCF_002966795.1, s__Achromobacter spanius_D, 95.0, 85.52, 0.29; GCF_902859745.1, s__Achromobacter dolens, 95.02, 86.11, 0.292; GCF_002902905.1, s__Achromobacter sp002902905, 95.0, 85.22, 0.234; GCF_016127315.1, s__Achromobacter insuavis_A, 95.0, 86.37, 0.308; GCF_902859625.1, s__Achromobacter pestifer, 95.0, 85.43, 0.301; GCF_001457475.1, s__Achromobacter xylosoxidans, 95.0, 86.31, 0.299; GCA_046736065.1, s__Achromobacter pulmonis_A, 95.0, 87.08, 0.373; GCF_003994415.1, s__Achromobacter spanius_C, 95.0, 84.87, 0.233; GCF_900156745.1, s__Achromobacter sp900156745, 95.0, 85.9, 0.301; GCF_012928505.1, s__Achromobacter sp012928505, 95.0, 85.97, 0.33	N/A	N/A	N/A	N/A
bin.111	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	57.23	11	0.92065	N/A
